DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	0.134411	13	4	1	6	3	1	1	0	2949	17	0	11.127 	0	0.193762
DL	0.134589	13	4	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.134625	13	4	2	5	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.134821	13	4	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.134839	13	4	3	4	1	1	1	0	983	17	0	11.127 	0	0.09483
DL	0.135089	13	5	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.135125	13	5	0	5	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.135321	13	5	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.135375	13	5	1	4	3	1	1	0	2949	17	0	11.127 	1	0.193762
DL	0.135589	13	5	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.135679	13	5	2	5	5	1	1	0	4913	17	0	11.127 	1	0.314022
DL	0.135821	13	5	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.135893	13	5	3	4	4	1	1	0	3929	17	0	11.127 	0	0.276073
DL	0.136089	13	6	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.136143	13	6	0	5	3	1	1	0	2949	17	1	11.127 	0	0
UL	0.136179	13	6	0	8	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.136321	13	6	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.136411	13	6	1	4	5	1	1	0	4913	17	1	11.127 	0	0
DL	0.136589	13	6	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.136625	13	6	2	5	2	1	1	0	1966	17	0	11.127 	1	0.149161
DL	0.136821	13	6	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.136911	13	6	3	4	5	1	1	0	4913	17	0	11.127 	0	0.314022
DL	0.137089	13	7	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.137196	13	7	0	5	6	1	1	0	5896	17	0	11.127 	0	0.349981
DL	0.137321	13	7	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.137357	13	7	1	4	2	1	1	0	1966	17	1	11.127 	0	0
UL	0.137411	13	7	1	6	3	1	1	0	2949	17	0	11.127 	0	0.193762
DL	0.137589	13	7	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.137625	13	7	2	5	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.137821	13	7	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.137839	13	7	3	4	1	1	1	0	983	17	0	11.127 	0	0.09483
DL	0.138089	13	8	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.138125	13	8	0	5	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.138321	13	8	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.138375	13	8	1	4	3	1	1	0	2949	17	0	11.127 	1	0.193762
DL	0.138589	13	8	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.138679	13	8	2	5	5	1	1	0	4913	17	0	11.127 	1	0.314022
DL	0.138821	13	8	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.138893	13	8	3	4	4	1	1	0	3929	17	0	11.127 	0	0.276073
DL	0.139089	13	9	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.139143	13	9	0	5	3	1	1	0	2949	17	1	11.127 	0	0
UL	0.139179	13	9	0	8	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.139321	13	9	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.139411	13	9	1	4	5	1	1	0	4913	17	1	11.127 	0	0
DL	0.139589	13	9	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.139625	13	9	2	5	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.139821	13	9	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.139911	13	9	3	4	5	1	1	0	4913	17	0	11.127 	0	0.314022
DL	0.140089	14	0	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.140196	14	0	0	5	6	1	1	0	5896	17	0	11.127 	0	0.349981
DL	0.140321	14	0	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.140375	14	0	1	4	3	1	1	0	2949	17	0	11.127 	0	0.193762
DL	0.140589	14	0	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.140625	14	0	2	5	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.140821	14	0	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.140839	14	0	3	4	1	1	1	0	983	17	0	11.127 	0	0.09483
DL	0.141089	14	1	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.141125	14	1	0	5	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.141321	14	1	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.141375	14	1	1	4	3	1	1	0	2949	17	0	11.127 	0	0.193762
DL	0.141589	14	1	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.141679	14	1	2	5	5	1	1	0	4913	17	0	11.127 	1	0.314022
DL	0.141821	14	1	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.141893	14	1	3	4	4	1	1	0	3929	17	0	11.127 	1	0.276073
DL	0.142089	14	2	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.142125	14	2	0	5	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.142321	14	2	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.142411	14	2	1	4	5	1	1	0	4913	17	1	11.127 	0	0
DL	0.142589	14	2	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.142661	14	2	2	5	4	1	1	0	3929	17	1	11.127 	0	0
DL	0.142821	14	2	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.142911	14	2	3	4	5	1	1	0	4913	17	0	11.127 	1	0.314022
DL	0.143089	14	3	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.143232	14	3	0	5	8	1	1	0	7859	17	0	11.127 	0	0.446939
DL	0.143321	14	3	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.143411	14	3	1	4	5	1	1	0	4913	17	0	11.127 	0	0.314022
DL	0.143589	14	3	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.143679	14	3	2	5	5	1	1	0	4913	17	1	11.127 	0	0
DL	0.143821	14	3	3	1	3	1	1	0	2743	16	0	11.127	0	0
DL	0.144089	14	4	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.144161	14	4	0	5	4	1	1	0	3929	17	0	11.127 	0	0.276073
DL	0.144321	14	4	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.144429	14	4	1	4	6	1	1	0	5896	17	0	11.127 	0	0.349981
DL	0.144589	14	4	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.144732	14	4	2	5	8	1	1	0	7859	17	0	11.127 	0	0.446939
DL	0.144821	14	4	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.144857	14	4	3	4	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.145089	14	5	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.145125	14	5	0	5	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.145321	14	5	1	1	3	1	1	0	2743	16	0	11.127	0	0
